FunctionalGroupName,FunctionalGroupIndex,TemperatureCurve1,TemperatureCurve2,TemperatureCurve3,TemperatureCurve4,FractionANPPtoLeaf,LeafBiomassToLAI,KLAI,MaximumLAI,MoistureCurve2,MoistureCurve3,WoodDecayRate,MonthlyWoodMortality,LongevityMortalityShape,FoliageDropMonth,CoarseRootFraction,FineRootFraction,MinLAI
"Dry/cold pines (jack, red)",1,20,33,1.8,2.6,0.5,-0.9,12000,7,0.7,100,0.5,0.0006,15,9,0.23,0.2,0.1
"Mesic/cold conifers (balsam fir, white spruce)",2,20,33,1.8,2.6,0.5,-0.9,12000,10,0.7,100,0.5,0.0006,15,9,0.23,0.2,0.1
Mesic/warm conifers (eastern white pine),3,25,40,1,3,0.55,-0.9,3000,7,0.3,3,0.5,0.0006,15,9,0.23,0.2,0.1
Wet conifer (black spruce),4,20,33,1.8,2.6,0.5,-0.9,12000,7,0.8795263,0.1064208,0.5,0.0006,15,9,0.23,0.2,0.1
"Facultative wet conifers (tamarack, cedar)",5,20,33,1.8,2.6,0.5,-0.9,12000,7,0.7,200,0.5,0.0006,15,9,0.23,0.2,0.1
"Northern hardwoods (birches, sugar maple, mountain ash)",6,25,40,1.5,2.5,0.6,-0.9,7000,10,0.5,15,0.7,0.0006,15,9,0.2,0.5,0.1
Aspen,7,22,38,1.2,5,0.5,-0.9,3000,6,0.7,200,0.6,0.0006,15,9,0.2,0.5,0.1
"Southern hardwoods (red maple, oaks)",8,27,40,1,2.5,0.6,-0.9,5000,6,0.5,20,0.6,0.0006,15,9,0.2,0.5,0.1
"Wet broadleaf (alder, ash, crataegus)",9,25,40,1.5,2.5,0.6,-0.9,7000,10,0.7,200,0.7,0.0006,15,9,0.2,0.5,0.1
Shrub,10,25,40,1.5,2.5,0.4,-0.9,2000,3,1.04,110.27,0.2,0.0019,15,10,0.1,0.1,0.1
